BCT2020,Population
4076902,1390
4077300,2311
4077500,2241
4077902,5416
4077903,2937
4077904,6324
4077905,2586
4077906,3968
4077907,3349
4077908,3838
4078800,2002
4079000,2875
4079200,2717
4079300,1
4079701,7620
4079702,5002
4079900,3871
4080301,4828
4080302,3973
4080900,7591
4081400,4088
4081800,3873
4083700,6229
4083800,5194
4084000,6644
4084500,5516
4084601,3045
4084602,1496
4084901,3013
4084902,4466
4085300,5415
4085500,6889
4085700,5770
4085900,6162
4086100,2450
4086300,7118
4086400,2867
4086500,5224
4086900,2343
4087100,6373
4088400,7578
4088902,7015
4088903,4487
4089201,7404
4089202,0
4090700,1584
4091602,12
4091603,4456
4091604,0
4091800,12
4091900,6417
4092200,2208
4092500,4356
4092800,3204
4092900,7638
4093401,3732
4093402,3704
4093800,4460
4093900,6268
4094201,3729
4094202,4785
4094203,5676
4094500,4327
4094700,3035
4095400,6108
4096400,6353
4097202,3460
4097204,4078
4097205,4268
4097206,2910
4097207,12
4097300,2007
4098100,2353
4098700,2543
4099100,6642
4099200,4348
4099701,3075
4099703,3938
4099704,7280
4099705,2687
4099801,7853
4099802,5822
4099900,0
4100801,2496
4100803,4817
4100804,4315
4101002,4596
4101003,3943
4101004,6612
4101700,6307
4102900,3786
4103201,6986
4103202,6860
4103300,4459
4103900,6618
4104700,7907
4105900,3812
4107201,2370
4107202,0
4108500,2778
4109300,3139
4109700,1797
4109900,3538
4111300,2611
4112300,2126
4112900,2248
4113300,1554
4113900,3602
4114100,2580
4114700,1833
4115100,1087
4115500,2132
4115700,3529
4115900,3922
4116100,4585
4116301,5178
4116302,3461
4116700,2094
4117100,2837
4117500,5410
4118100,2015
4118500,2357
4118700,2648
4118900,2625
4119100,3694
4119300,2407
4119500,1445
4119900,1699
4120100,1840
4120300,1818
4120500,3144
4120701,3058
4120702,3
4121100,2
4121500,4737
4122300,3822
4122702,6959
4122703,6801
4122704,4444
4124100,4004
4124700,3734
4125700,3642
4126500,1595
4126700,4490
4127700,3600
4128300,5
4129102,3561
4129103,3811
4129104,4318
4130100,4203
4133300,3915
4133900,1360
4134100,3659
4134701,5561
4134702,5117
4136700,6250
4137700,7309
4138501,4994
4138502,85
4139900,1769
4140300,2406
4140901,1020
4140902,2906
4141700,4975
4142900,3897
4143500,2364
4144100,2957
4144700,3131
4145101,1501
4145102,2597
4145900,2870
4146300,2929
4146700,2807
4147100,3239
4147900,4279
4148300,2968
4150701,2919
4150702,3049
4152901,6382
4152902,5665
4155101,1945
4155103,4373
4155104,3616
4156700,1470
4157101,7561
4157102,2109
4157901,5184
4157902,3757
4157903,4489
4161700,4541
4162100,6682
4990100,0
5000300,2348
5000600,2859
5000700,5143
5000800,6268
5000900,2240
5001100,4234
5001700,1865
5001800,495
5002001,2524
5002002,3302
5002100,5467
5002700,2049
5002900,6871
5003300,3738
5003600,2792
5003900,2179
5004001,2775
5004002,3409
5004003,4851
5004004,2807
5004700,3126
5005000,4357
5005901,2854
5005902,5
5006400,3698
5006700,2927
5007001,2634
5007002,6215
5007400,4962
5007500,4200
5007700,1762
5008100,4822
5009601,4075
5009602,3767
5009701,4454
5009702,8
5010500,5597
5011201,5768
5011203,6791
5011204,46
5011401,3249
5011402,3738
5012100,3212
5012200,3938
5012500,3087
5012804,4644
5012805,2390
5012806,6659
5013201,1659
5013203,5790
5013204,5055
5013301,1631
5013302,3733
5013400,4204
5013800,6625
5014100,2868
5014604,6651
5014605,3785
5014606,6288
5014607,4650
5014608,3640
5014700,3451
5015100,5449
5015400,5
5015601,6663
5015602,3396
5015603,4776
5016901,3213
5017005,4845
5017007,5526
5017009,4473
5017011,4587
5017012,4473
5017013,4333
5017014,4327
5017015,2713
5017016,4637
5017300,2535
5017600,4932
5017701,4724
5017702,2353
5018100,3569
5018701,1836
5018703,3976
5018704,3780
5018901,5725
5018902,5533
5019700,1958
5019800,6627
5020100,3796
5020701,3942
5020702,3436
5020803,7348
5020804,5364
5020805,6433
5020806,2714
5021300,5737
5022300,3134
5022601,6945
5022602,1223
5022801,95
5022802,15
5023100,4959
5023900,3605
5024401,5687
5024402,4381
5024700,2893
5024800,4798
5025100,6030
5027301,4811
5027302,4242
5027702,6479
5027704,4612
5027705,5866
5027706,3043
5027900,2110
5029102,3394
5029104,7178
5029105,4257
5029106,3231
5030301,5130
5030302,6669
5031901,3262
5031902,5500
5032300,1233
5990100,0
