BCT2020,Population
2021800,6610
2021900,1176
2022000,2511
2022101,4001
2022102,5457
2022200,3968
2022300,5063
2022401,2787
2022403,3275
2022404,4489
2022500,8141
2022701,5669
2022702,1634
2022703,1699
2022800,6336
2022901,5766
2022902,3401
2023000,3001
2023100,1464
2023200,3000
2023301,4577
2023302,3574
2023501,3570
2023502,4417
2023600,2204
2023702,1179
2023703,5086
2023704,3970
2023800,2750
2023900,8213
2024000,4583
2024100,6331
2024300,5577
2024400,2407
2024501,5059
2024502,3797
2024600,2297
2024700,1921
2024800,3620
2024900,4
2025000,2672
2025100,6924
2025200,2682
2025300,6234
2025400,2163
2025500,8092
2025600,1908
2025700,1809
2026100,2060
2026300,6788
2026400,5693
2026500,7166
2026601,3328
2026602,6409
2026701,3983
2026702,7022
2026900,4126
2027300,7939
2027401,5136
2027402,3553
2027600,23
2027700,4968
2027900,8145
2028100,3720
2028300,2084
2028400,297
2028500,3440
2028600,1395
2028700,3953
2028800,3055
2028900,4736
2029301,1954
2029302,5248
2029500,4615
2029600,2878
2029700,4005
2030000,6591
2030100,1627
2030201,4048
2030202,6063
2030701,5799
2030900,3947
2031000,4372
2031200,1555
2031400,2071
2031600,2071
2031800,1961
2031900,454
2032300,5001
2032400,3113
2032600,3494
2032800,4133
2033000,5837
2033201,4103
2033202,4204
2033400,69
2033500,2440
2033601,4306
2033602,1555
2033700,3838
2033801,2337
2033802,1737
2034000,4858
2034200,1732
2034300,1706
2034400,1930
2034500,3754
2034800,6640
2035000,2284
2035100,3539
2035600,2261
2035800,7542
2035900,3731
2036000,3024
2036100,5569
2036300,7074
2036400,2603
2036501,3897
2036502,2449
2036700,2672
2036800,2165
2036901,1910
2036902,2324
2037000,2536
2037100,4504
2037200,2289
2037300,6117
2037400,3890
2037504,4023
2037600,2274
2037800,3569
2037900,6878
2038000,4938
2038100,6853
2038200,2852
2038301,4635
2038303,3468
2038304,2508
2038500,5362
2038600,7949
2038700,3401
2038800,2941
2038900,4819
2039000,3323
2039100,7210
2039200,1809
2039300,8033
2039400,4647
2039500,4254
2039600,4485
2039700,4492
2039800,3347
2039901,5254
2039902,5548
2040100,5009
2040302,4197
2040303,4843
2040304,4125
2040400,3530
2040501,4385
2040502,7320
2040600,3792
2040701,3235
2040702,6968
2040800,4475
2040900,3580
2041100,3215
2041300,7781
2041400,5342
2041500,5872
2041800,3752
2041900,7205
2042000,3905
2042100,6135
2042200,3211
2042300,4179
2042400,2553
2042500,7667
2042600,6982
2042800,2230
2042901,3711
2042902,4334
2043000,2952
2043101,5185
2043102,5050
2043400,3649
2043501,1192
2043502,2
2043503,122
2043600,2061
2044200,3877
2044400,3984
2044800,2007
2044901,1946
2044902,2229
2045101,1817
2045102,2142
2045600,3056
2045800,5662
2046000,2890
2046203,6599
2046204,5552
2046205,4445
2046206,4434
2046207,6228
2046208,5155
2046209,3707
2048401,3888
2048402,41
2050400,5
2051601,4445
2051602,0
3000100,4616
3000200,1205
3000301,3850
3000501,4404
3000502,2640
3000700,4415
3000900,5167
3001100,1578
3001300,2465
3001501,5161
3001502,5801
3001801,2563
3001802,6
3001803,16
3001804,0
3002000,1694
3002100,5975
3002200,4589
3002300,3940
3002901,3149
3003000,1811
3003101,3395
3003102,0
3003300,4807
3003400,3489
3003500,2402
3003600,3959
3003700,4565
3003800,1529
3003900,2644
3004100,3398
3004300,3810
3004400,2448
3004500,3476
3004600,1154
3004700,1951
3004900,2412
3005000,2535
3005100,2658
3005201,1879
3005202,2668
3005301,2164
3005302,86
3005303,0
3005400,3426
3005601,2692
3005602,1734
3005800,3450
3005900,1742
3006000,2876
3006200,2958
3006300,2007
3006400,3623
3006500,5461
3006600,3974
3006700,3618
3006800,5491
3006901,1631
3006902,1962
3007000,2454
3007100,4362
3007200,2082
3007400,5829
3007500,4691
3007600,4872
3007700,5690
3007800,5333
3008000,4024
3008200,4008
3008400,3311
3008500,6673
3008600,0
3008800,3258
3009001,1886
3009002,1391
3009201,2087
3009202,3424
3009401,3127
3009402,3168
3009600,6462
3009800,7440
3010000,7741
3010100,4590
3010200,6578
3010401,3015
3010402,2965
3010601,3037
3010602,2820
3010801,2876
3010802,2840
3011000,2709
3011200,6636
3011400,4150
3011600,5529
3011700,2672
3011800,2578
3011901,1589
3011902,0
3012000,1176
3012100,1916
3012200,5521
3012600,3085
3012700,4036
3012801,2567
3012901,2333
3012902,3318
3013000,5347
3013100,3979
3013200,2870
3013300,4411
3013400,4212
3013500,3799
3013600,4079
3013700,3406
3013800,3247
3013900,3727
3014000,2136
3014101,1621
3014102,1858
3014200,3434
3014300,3705
3014500,4404
3014700,2242
3014800,1244
3014901,1529
3014902,3601
3015000,1791
3015100,3696
3015200,2545
3015300,2633
3015400,9
3015500,3466
3015700,4447
3015900,5206
3016000,4462
3016100,3450
3016200,2218
3016300,4088
3016400,775
3016500,5080
3016600,1968
3016700,4754
3016800,1695
3016900,4459
3017000,3604
3017100,3717
3017200,3300
3017400,1950
3017500,5
3017600,2418
3017700,15
3017800,2959
3017900,3895
3018000,3125
3018100,4204
3018200,3745
3018300,2784
3018400,2460
3018501,4461
3018600,2364
3018700,1336
3018800,2955
3019000,4853
3019100,3427
3019200,3541
3019300,6279
3019400,3570
3019500,3684
3019600,4691
3019700,3585
3019800,2061
3019900,3978
3020000,2442
3020100,3862
3020200,2147
3020300,2132
3020400,2040
3020500,3405
3020600,2505
3020700,4871
3020800,3782
3021000,4488
3021100,2505
3021200,5278
3021300,3880
3021400,2502
3021500,5569
3021600,4280
3021700,4351
3021800,4191
3021900,4225
3022000,5660
3022100,3897
3022200,5633
3022400,6117
3022600,2664
3022700,4515
3022800,3638
3022900,3923
3023000,4442
3023100,3832
3023200,6382
3023300,5961
3023400,5923
3023500,5921
3023600,6548
3023800,5414
3024000,5165
3024100,3175
3024200,3289
3024300,4347
3024400,3651
